,index,cmdb_type,cmdb,kpi_name,kpi_item,itemid,change_start,po,pu,digest,pmax
0,5,0,0,0,0,63148997,-756000,0.6212119873977597,1.3434741306291067,0,1.3434741306291067
1,5,0,0,0,1,0,0,0.0,0.0,0,0.0
2,5,0,0,1,0,999999996512497,0,0.0,0.0,0,0.0
3,5,0,0,2,0,63148995,-1296000,0.6406410404554046,1.34245394204206,0,1.34245394204206
4,5,0,0,2,1,0,0,0.0,0.0,0,0.0
5,5,0,0,3,0,63148994,-756000,0.6183489290526382,1.264296222759853,0,1.264296222759853
6,5,0,0,3,1,0,0,0.0,0.0,0,0.0
7,5,0,0,4,0,63149004,-396000,0.9280572177479085,0.9148406341551165,0,0.9280572177479085
8,5,0,0,4,1,0,0,0.0,0.0,0,0.0
9,5,0,0,5,0,999999996512473,0,0.0,0.0,0,0.0
10,5,0,0,6,0,63149002,-1596000,2.1713292624002922,2.171329262405582,0,2.171329262405582
11,5,0,0,6,1,0,0,0.0,0.0,0,0.0
12,5,0,0,7,0,63148996,-756000,0.6231528150379408,1.3890013211223637,0,1.3890013211223637
13,5,0,0,7,1,0,0,0.0,0.0,0,0.0
14,5,0,0,8,0,999999996512516,-275000,0.8234277210909287,1.64618664725605,0,1.64618664725605
15,5,0,0,9,0,63149005,0,0.0,0.0,0,0.0
16,5,0,0,10,0,999999996512495,0,0.0,0.0,0,0.0
17,5,0,0,11,0,999999996512461,0,0.0,0.0,0,0.0
18,5,0,0,12,0,63149000,0,0.0,0.0,0,0.0
19,5,0,0,12,1,0,0,0.0,0.0,0,0.0
20,5,0,0,13,0,999999996512500,0,0.0,0.0,0,0.0
21,5,0,0,14,0,999999996512481,-516000,1.1626836936203986,1.4751941952379515,0,1.4751941952379515
22,5,0,0,15,0,999999996512464,-536000,0.5898717553341508,0.9623849675726962,0,0.9623849675726962
23,5,0,0,16,0,999999996512520,0,0.0,0.0,0,0.0
24,5,0,0,17,0,999999996512459,-841000,0.6281730901324601,1.346458378602245,0,1.346458378602245
25,5,0,0,18,0,999999996512480,-516000,1.1626836936203986,1.4751941952379515,0,1.4751941952379515
26,5,0,0,19,0,63148998,-756000,0.6043193590884716,1.3803916304338402,0,1.3803916304338402
27,5,0,0,19,1,0,0,0.0,0.0,0,0.0
28,5,0,0,20,0,63149001,-756000,0.606992114012791,1.3848295685642795,0,1.3848295685642795
29,5,0,0,20,1,0,0,0.0,0.0,0,0.0
30,5,0,0,21,0,999999996512515,-337000,0.7076675945649462,1.0760833527336746,0,1.0760833527336746
31,5,0,0,22,0,999999996512526,-1434000,0.4451453308955323,1.4244582376945434,0,1.4244582376945434
32,5,0,0,23,0,999999996512474,0,0.0,0.0,0,0.0
33,5,0,0,24,0,999999996512501,0,0.0,0.0,0,0.0
34,5,0,0,25,0,63149294,0,0.0,0.0,0,0.0
35,5,0,0,25,1,63149295,0,0.0,0.0,0,0.0
36,5,0,0,25,2,63149296,0,0.0,0.0,0,0.0
37,5,0,0,25,3,63149297,0,0.0,0.0,0,0.0
38,5,0,0,25,4,63149298,0,0.0,0.0,0,0.0
39,5,0,0,25,5,63149299,0,0.0,0.0,0,0.0
40,5,0,0,25,6,63149300,0,0.0,0.0,0,0.0
41,5,0,0,25,7,0,0,0.0,0.0,0,0.0
42,5,0,0,25,8,0,0,0.0,0.0,0,0.0
