,index,cmdb_type,cmdb,kpi_name,kpi_item,itemid,change_start,po,pu,digest,pmax
0,1,0,0,0,0,63148997,-37000,0.9805113850419087,0.9149298380402012,0,0.9805113850419087
1,1,0,0,0,1,0,0,0.0,0.0,0,0.0
2,1,0,0,1,0,999999996512497,0,0.0,0.0,0,0.0
3,1,0,0,2,0,63148995,0,0.0,0.0,0,0.0
4,1,0,0,2,1,0,0,0.0,0.0,0,0.0
5,1,0,0,3,0,63148994,203000,1.3715003038887692,3.247489192433982,0,3.247489192433982
6,1,0,0,3,1,0,0,0.0,0.0,0,0.0
7,1,0,0,4,0,63149004,0,0.0,0.0,0,0.0
8,1,0,0,4,1,0,0,0.0,0.0,0,0.0
9,1,0,0,5,0,0,0,0.0,0.0,0,0.0
10,1,0,0,6,0,63149002,203000,2.647238198048446,2.6472381980554647,0,2.6472381980554647
11,1,0,0,6,1,0,0,0.0,0.0,0,0.0
12,1,0,0,7,0,63148996,0,0.0,0.0,0,0.0
13,1,0,0,7,1,0,0,0.0,0.0,0,0.0
14,1,0,0,8,0,999999996512516,25000,2.0610176125070763,2.061017612511989,0,2.061017612511989
15,1,0,0,9,0,63149005,0,0.0,0.0,0,0.0
16,1,0,0,10,0,0,0,0.0,0.0,0,0.0
17,1,0,0,11,0,999999996512461,0,0.0,0.0,0,0.0
18,1,0,0,12,0,63149000,0,0.0,0.0,0,0.0
19,1,0,0,12,1,0,0,0.0,0.0,0,0.0
20,1,0,0,13,0,999999996512500,0,0.0,0.0,0,0.0
21,1,0,0,14,0,999999996512481,323000,0.51928431136703,1.912762543097673,0,1.912762543097673
22,1,0,0,15,0,999999996512464,0,0.0,0.0,0,0.0
23,1,0,0,16,0,999999996512520,0,0.0,0.0,0,0.0
24,1,0,0,17,0,999999996512459,0,0.0,0.0,0,0.0
25,1,0,0,18,0,999999996512480,323000,0.51928431136703,1.912762543097673,0,1.912762543097673
26,1,0,0,19,0,63148998,203000,1.4572359513110893,3.324672022839761,0,3.324672022839761
27,1,0,0,19,1,0,0,0.0,0.0,0,0.0
28,1,0,0,20,0,63149001,0,0.0,0.0,0,0.0
29,1,0,0,20,1,0,0,0.0,0.0,0,0.0
30,1,0,0,21,0,999999996512515,0,0.0,0.0,0,0.0
31,1,0,0,22,0,999999996512526,426000,0.4231684183597719,3.4918192172113187,0,3.4918192172113187
32,1,0,0,23,0,0,0,0.0,0.0,0,0.0
33,1,0,0,24,0,999999996512501,0,0.0,0.0,0,0.0
34,1,0,0,25,0,63149294,0,0.0,0.0,0,0.0
35,1,0,0,25,1,63149295,0,0.0,0.0,0,0.0
36,1,0,0,25,2,63149296,0,0.0,0.0,0,0.0
37,1,0,0,25,3,63149297,0,0.0,0.0,0,0.0
38,1,0,0,25,4,63149298,0,0.0,0.0,0,0.0
39,1,0,0,25,5,63149299,0,0.0,0.0,0,0.0
40,1,0,0,25,6,63149300,0,0.0,0.0,0,0.0
41,1,0,0,25,7,0,0,0.0,0.0,0,0.0
42,1,0,0,25,8,0,0,0.0,0.0,0,0.0
43,1,0,0,25,9,0,0,0.0,0.0,0,0.0
44,1,0,0,25,10,0,0,0.0,0.0,0,0.0
45,1,0,0,25,11,0,0,0.0,0.0,0,0.0
46,1,0,0,25,12,0,0,0.0,0.0,0,0.0
47,1,0,0,25,13,0,0,0.0,0.0,0,0.0
48,1,0,0,25,14,0,0,0.0,0.0,0,0.0
49,1,0,0,25,15,0,0,0.0,0.0,0,0.0
50,1,0,0,26,0,0,0,0.0,0.0,0,0.0
51,1,0,0,26,1,0,0,0.0,0.0,0,0.0
52,1,0,0,27,0,0,0,0.0,0.0,0,0.0
53,1,0,0,28,0,999999996512503,0,0.0,0.0,0,0.0
54,1,0,0,29,0,999999996512491,0,0.0,0.0,0,0.0
55,1,0,0,30,0,999999996512458,0,0.0,0.0,0,0.0
56,1,0,0,31,0,999999996512488,0,0.0,0.0,0,0.0
57,1,0,0,32,0,63149312,0,0.0,0.0,0,0.0
58,1,0,0,32,1,63149313,0,0.0,0.0,0,0.0
59,1,0,0,32,2,63149314,0,0.0,0.0,0,0.0
